Danceability,Energy,Speechiness,Liveness,Tempo,Duration,Stream
0.818,0.705,0.177,0.613,138.559,222640,1040234854
0.676,0.703,0.0302,0.0463,92.761,200173,310083733
0.695,0.923,0.0522,0.116,108.014,215150,63063467
0.689,0.739,0.026,0.064,120.423,233867,434663559
0.663,0.694,0.171,0.0698,167.953,340920,617259738
0.76,0.891,0.0372,0.298,120.264,245000,323850327
0.716,0.897,0.0629,0.325,127.03,274142,10666154
0.726,0.815,0.0313,0.112,140.158,209560,159605929
0.741,0.913,0.0465,0.325,120.012,213750,42671901
0.625,0.877,0.162,0.672,192.296,230426,191074713
0.592,0.767,0.027,0.127,96.483,329733,1055738398
0.559,0.345,0.0459,0.141,84.581,264307,1061750522
0.618,0.938,0.0456,0.167,91.455,269000,866464951
0.595,0.717,0.0295,0.108,88.969,215907,613838674
0.458,0.795,0.0574,0.0756,123.229,255373,732774515
0.427,0.9,0.0499,0.119,104.655,334667,860722316
0.556,0.913,0.0437,0.346,96.184,282160,550067391
0.451,0.97,0.107,0.102,122.444,216933,367485508
0.666,0.936,0.0476,0.153,91.577,282907,301947159
0.7,0.742,0.0716,0.11,91.959,302000,385677873
0.902,0.72,0.347,0.0749,90.059,193467,1041736808
0.614,0.574,0.466,0.38,125.173,209107,701248893
0.489,0.692,0.41,0.315,96.946,237707,395155110
0.7,0.758,0.342,0.0401,78.693,249467,541728561
0.653,0.826,0.354,0.131,108.52,256227,332175400
0.925,0.659,0.231,0.279,97.018,214227,202477187
0.576,0.807,0.317,0.0512,90.012,224427,446003044
0.853,0.776,0.261,0.181,94.028,212013,28529840
0.892,0.631,0.302,0.0235,93.975,196640,210473579
0.545,0.64,0.308,0.111,181.733,254493,160037992
0.511,0.972,0.0413,0.19,132.97,304893,327681785
0.386,0.996,0.0754,0.116,130.573,205680,20061385
0.425,0.972,0.045,0.239,101.125,330453,3905429
0.429,0.661,0.0281,0.234,173.372,266773,1483622308
0.486,0.617,0.0287,0.109,138.015,242373,1325575712
0.371,0.268,0.0281,0.104,102.617,227093,475353044
0.617,0.635,0.0317,0.164,103.019,247160,2030825694
0.557,0.442,0.0243,0.11,146.277,309600,1465980600
0.545,0.675,0.0279,0.209,124.97,267867,1021782403
0.449,0.585,0.0268,0.0833,139.631,278719,927288329
0.491,0.693,0.0377,0.325,90.027,258267,1049654852
0.573,0.711,0.0406,0.328,105.006,226198,883224238
0.209,0.417,0.0338,0.113,138.178,295533,1115171056
0.794,0.811,0.038,0.101,116.047,248413,844698895
0.613,0.697,0.133,0.332,122.746,320357,471747761
0.775,0.585,0.0271,0.077,109.942,337560,460589724
0.81,0.793,0.0403,0.072,116.05,369627,400304719
0.956,0.795,0.15,0.0906,121.294,429533,293417547
0.817,0.716,0.144,0.358,123.474,224693,292668007
0.875,0.475,0.0986,0.046,99.958,232667,185381876
0.832,0.659,0.057,0.0753,100.163,353893,274711166
0.605,0.687,0.045,0.104,106.896,345187,90589464
0.644,0.664,0.0332,0.342,124.726,301373,115484456
0.556,0.864,0.0584,0.209,105.143,216880,1444841705
0.496,0.863,0.0381,0.639,110.018,185587,1195213410
0.623,0.93,0.0324,0.138,120.119,205613,589294152
0.687,0.793,0.166,0.582,107.045,205733,778880225
0.492,0.969,0.0491,0.0787,95.136,157333,447287242
0.554,0.978,0.131,0.0731,135.095,162600,413355749
0.529,0.967,0.0508,0.61,140.127,166373,388331061
0.524,0.939,0.113,0.623,150.184,184867,345142662
0.58,0.702,0.0337,0.536,105.076,208960,391929621
0.585,0.972,0.0534,0.0707,110.006,230253,368132993
0.515,0.43,0.0372,0.129,91.844,238640,1101854725
0.255,0.393,0.0278,0.113,76.426,229120,379349681
0.36,0.501,0.0258,0.172,74.807,264067,382823305
